step,epoch,loss,val_loss,learning_rate,gpu_vram,gpu_util,elapsed_seconds
252,1.76,0.4338,None,7.507360256631904e-05,8.20GB / 11.83GB,69.3%,8148.02
254,1.78,0.4931,None,7.364128339309326e-05,8.20GB / 11.83GB,69.3%,8191.21
256,1.79,0.4304,None,7.221475243063563e-05,8.20GB / 11.83GB,69.3%,8233.54
258,1.81,0.4869,None,7.079432293630244e-05,8.20GB / 11.83GB,69.3%,8276.76
260,1.82,0.4647,None,6.938030682760532e-05,8.20GB / 11.83GB,69.3%,8319.17
260,1.82,None,0.4899555444717407,0.0,8.20GB / 11.83GB,69.3%,8426.31
262,1.83,0.4852,None,6.797301461371625e-05,8.20GB / 11.83GB,69.3%,8471.84
264,1.85,0.43,None,6.65727553272815e-05,8.20GB / 11.83GB,69.3%,8514.57
266,1.86,0.419,None,6.517983645656014e-05,8.20GB / 11.83GB,69.3%,8557.13
268,1.88,0.3781,None,6.379456387790138e-05,8.20GB / 11.83GB,69.3%,8599.88
270,1.89,0.4489,None,6.24172417885762e-05,8.20GB / 11.83GB,69.3%,8641.66
270,1.89,None,0.4896591305732727,0.0,8.20GB / 11.83GB,69.3%,8749.02
272,1.9,0.4167,None,6.104817263997727e-05,8.20GB / 11.83GB,69.3%,8794.69
274,1.92,0.5016,None,5.96876570712028e-05,8.20GB / 11.83GB,69.3%,8836.47
276,1.93,0.5263,None,5.8335993843037695e-05,8.20GB / 11.83GB,69.3%,8878.42
278,1.95,0.3408,None,5.699347977234799e-05,8.20GB / 11.83GB,69.3%,8921.3
280,1.96,0.3879,None,5.566040966690115e-05,8.20GB / 11.83GB,69.3%,8964.2
280,1.96,None,0.4888337254524231,0.0,8.20GB / 11.83GB,69.3%,9071.69
282,1.97,0.4671,None,5.43370762606287e-05,8.20GB / 11.83GB,69.3%,9118.14
284,1.99,0.4591,None,5.302377014934322e-05,8.20GB / 11.83GB,69.3%,9160.67
286,2.0,0.4157,None,5.172077972692553e-05,8.20GB / 11.83GB,69.3%,9195.28
288,2.01,0.286,None,5.042839112199509e-05,8.20GB / 11.83GB,69.3%,9237.77
290,2.03,0.3337,None,4.914688813507797e-05,8.20GB / 11.83GB,69.3%,9280.3
290,2.03,None,0.4884842038154602,0.0,8.20GB / 11.83GB,69.3%,9387.5
292,2.04,0.347,None,4.7876552176286005e-05,8.20GB / 11.83GB,69.3%,9433.66
294,2.06,0.3326,None,4.661766220352097e-05,8.20GB / 11.83GB,69.3%,9476.66
296,2.07,0.3744,None,4.5370494661216835e-05,8.20GB / 11.83GB,69.3%,9519.2
298,2.08,0.3472,None,4.4135323419634766e-05,8.20GB / 11.83GB,69.3%,9562.27
300,2.1,0.3454,None,4.2912419714722496e-05,8.20GB / 11.83GB,69.3%,9605.55
300,2.1,None,0.4970279633998871,0.0,8.20GB / 11.83GB,69.3%,9712.82
302,2.11,0.405,None,4.170205208855281e-05,8.20GB / 11.83GB,69.3%,9758.73
304,2.13,0.3386,None,4.0504486330353264e-05,8.20GB / 11.83GB,69.3%,9801.55
306,2.14,0.4167,None,3.931998541814069e-05,8.20GB / 11.83GB,69.3%,9843.41
308,2.15,0.3187,None,3.814880946097252e-05,8.20GB / 11.83GB,69.3%,9886.18
310,2.17,0.378,None,3.69912156418289e-05,8.20GB / 11.83GB,69.3%,9929.43
310,2.17,None,0.5030245780944824,0.0,8.20GB / 11.83GB,69.3%,10036.69
312,2.18,0.3566,None,3.584745816113648e-05,8.20GB / 11.83GB,69.3%,10082.82
314,2.2,0.3611,None,3.471778818094785e-05,8.20GB / 11.83GB,69.3%,10125.83
316,2.21,0.3597,None,3.360245376978779e-05,8.20GB / 11.83GB,69.3%,10165.83
318,2.22,0.4128,None,3.250169984817897e-05,8.20GB / 11.83GB,69.3%,10209.08
320,2.24,0.3328,None,3.1415768134858945e-05,8.20GB / 11.83GB,69.3%,10251.05
320,2.24,None,0.5042095184326172,0.0,8.20GB / 11.83GB,69.3%,10357.42
322,2.25,0.4117,None,3.034489709370033e-05,8.20GB / 11.83GB,69.3%,10403.53
324,2.27,0.3859,None,2.9289321881345254e-05,8.20GB / 11.83GB,69.3%,10446.82
326,2.28,0.3147,None,2.8249274295566864e-05,8.20GB / 11.83GB,69.3%,10489.37
328,2.29,0.308,None,2.7224982724367776e-05,8.20GB / 11.83GB,69.3%,10532.16
330,2.31,0.3817,None,2.6216672095827266e-05,8.20GB / 11.83GB,69.3%,10574.62
330,2.31,None,0.5055304169654846,0.0,8.20GB / 11.83GB,69.3%,10682.06
332,2.32,0.3674,None,2.5224563828708902e-05,8.20GB / 11.83GB,69.3%,10728.47
334,2.34,0.3424,None,2.4248875783837987e-05,8.20GB / 11.83GB,69.3%,10771.6
336,2.35,0.3349,None,2.328982221626087e-05,8.20GB / 11.83GB,69.3%,10813.88
338,2.36,0.3788,None,2.234761372819577e-05,8.20GB / 11.83GB,69.3%,10857.42
340,2.38,0.3094,None,2.1422457222785873e-05,8.20GB / 11.83GB,69.3%,10900.39
340,2.38,None,0.5064505338668823,0.0,8.20GB / 11.83GB,69.3%,11007.74
342,2.39,0.4124,None,2.0514555858664663e-05,8.20GB / 11.83GB,69.3%,11052.64
344,2.41,0.3324,None,1.9624109005343672e-05,8.20GB / 11.83GB,69.3%,11095.69
346,2.42,0.3392,None,1.875131219943187e-05,8.20GB / 11.83GB,69.3%,11136.73
348,2.43,0.3988,None,1.7896357101697404e-05,8.20GB / 11.83GB,69.3%,11179.37
350,2.45,0.3609,None,1.7059431454979824e-05,8.20GB / 11.83GB,69.3%,11222.35
350,2.45,None,0.5045318007469177,0.0,8.20GB / 11.83GB,69.3%,11329.02
352,2.46,0.3688,None,1.6240719042963002e-05,8.20GB / 11.83GB,69.3%,11374.31
354,2.48,0.3972,None,1.5440399649817385e-05,8.20GB / 11.83GB,69.3%,11416.08
356,2.49,0.3989,None,1.4658649020720538e-05,8.20GB / 11.83GB,69.3%,11459.14
358,2.5,0.3023,None,1.3895638823264446e-05,8.20GB / 11.83GB,69.3%,11502.24
360,2.52,0.3036,None,1.3151536609758586e-05,8.20GB / 11.83GB,69.3%,11545.37
360,2.52,None,0.5046623349189758,0.0,8.20GB / 11.83GB,69.3%,11651.88
362,2.53,0.4111,None,1.2426505780436326e-05,8.20GB / 11.83GB,69.3%,11697.07
364,2.55,0.393,None,1.1720705547573263e-05,8.20GB / 11.83GB,69.3%,11739.22
366,2.56,0.4223,None,1.103429090052528e-05,8.20GB / 11.83GB,69.3%,11782.26
368,2.57,0.399,None,1.0367412571693747e-05,8.20GB / 11.83GB,69.3%,11825.23
370,2.59,0.3369,None,9.720217003425647e-06,8.20GB / 11.83GB,69.3%,11866.76
370,2.59,None,0.5028426051139832,0.0,8.20GB / 11.83GB,69.3%,11974.1
372,2.6,0.2931,None,9.092846315855841e-06,8.20GB / 11.83GB,69.3%,12020.59
374,2.62,0.4059,None,8.485438275698154e-06,8.20GB / 11.83GB,69.3%,12063.08
376,2.63,0.3361,None,7.89812626599291e-06,8.20GB / 11.83GB,69.3%,12106.1
378,2.65,0.3846,None,7.331039256816663e-06,8.20GB / 11.83GB,69.3%,12148.01
380,2.66,0.3738,None,6.7843017769612215e-06,8.20GB / 11.83GB,69.3%,12190.03
380,2.66,None,0.502170205116272,0.0,8.20GB / 11.83GB,69.3%,12296.84
382,2.67,0.431,None,6.258033886587911e-06,8.20GB / 11.83GB,69.3%,12342.73
384,2.69,0.45,None,5.7523511508631336e-06,8.20GB / 11.83GB,69.3%,12385.29
386,2.7,0.3774,None,5.267364614580861e-06,8.20GB / 11.83GB,69.3%,12427.93
388,2.72,0.3637,None,4.803180777778049e-06,8.20GB / 11.83GB,69.3%,12470.48
390,2.73,0.3399,None,4.359901572347758e-06,8.20GB / 11.83GB,69.3%,12513.21
390,2.73,None,0.502465546131134,0.0,8.20GB / 11.83GB,69.3%,12620.4
392,2.74,0.323,None,3.937624339655599e-06,8.20GB / 11.83GB,69.3%,12666.1
394,2.76,0.2864,None,3.5364418091641373e-06,8.20GB / 11.83GB,69.3%,12708.93
396,2.77,0.3013,None,3.156442078070143e-06,8.20GB / 11.83GB,69.3%,12751.88
398,2.79,0.319,None,2.7977085919589254e-06,8.20GB / 11.83GB,69.3%,12793.52
400,2.8,0.317,None,2.460320126480242e-06,8.20GB / 11.83GB,69.3%,12836.5
400,2.8,None,0.5029966235160828,0.0,8.20GB / 11.83GB,69.3%,12944.02
402,2.81,0.4023,None,2.144350770049597e-06,8.20GB / 11.83GB,69.3%,12990.47
404,2.83,0.3677,None,1.8498699075789939e-06,8.20GB / 11.83GB,69.3%,13032.67
406,2.84,0.3668,None,1.576942205240317e-06,8.20GB / 11.83GB,69.3%,13074.99
408,2.86,0.2803,None,1.3256275962651222e-06,8.20GB / 11.83GB,69.3%,13116.32
410,2.87,0.3733,None,1.0959812677835968e-06,8.20GB / 11.83GB,69.3%,13159.51
410,2.87,None,0.5032860040664673,0.0,8.20GB / 11.83GB,69.3%,13266.89
412,2.88,0.3699,None,8.880536487059333e-07,8.20GB / 11.83GB,69.3%,13311.72
414,2.9,0.297,None,7.018903986483083e-07,8.20GB / 11.83GB,69.3%,13354.52
416,2.91,0.3817,None,5.375323979063928e-07,8.20GB / 11.83GB,69.3%,13397.15
418,2.93,0.3455,None,3.950157384783104e-07,8.20GB / 11.83GB,69.3%,13439.82
420,2.94,0.3993,None,2.7437171613898807e-07,8.20GB / 11.83GB,69.3%,13482.12
420,2.94,None,0.5033531785011292,0.0,8.20GB / 11.83GB,69.3%,13589.31
422,2.95,0.3294,None,1.7562682356786487e-07,8.20GB / 11.83GB,69.3%,13635.13
424,2.97,0.3563,None,9.88027445312123e-08,8.20GB / 11.83GB,69.3%,13677.12
426,2.98,0.3675,None,4.391634912056519e-08,8.20GB / 11.83GB,69.3%,13719.82
428,3.0,0.4318,None,1.0979690048107394e-08,8.20GB / 11.83GB,69.3%,13761.61
429,3.0,None,None,0.0,8.20GB / 11.83GB,69.3%,13780.54
